,database1,database2,tablename,source,seg_id,vers_rotor,datacountdbl,datacountstr,da,dm,di,z,lp,spiri,hr,hl,gamma,plen,was,alpha_a,tanue,delta_u,wks,wbk,memotext,k2_refpos,functyp,profile,profile_correction,profile_last_correction,profile_actual,settings,settings_correction,settings_last_correction,settings_lead_actual,settings_cone_actual,count,cycleno,cycleselect,progno,vc,vcr,vf,vfr,vr,vrad,srad,saxl,saxr,ssum,vca,vfa,vfar,nsz,sa,na,deltagamma1,fpmr,fpma,wait,ndpc,fdwl,qd,fdsl,bal,hm,sradl,sradr,sradvt,sradvtactive,noiseampl,noiselimitlow,processname,cyclefinished,nso,v2rad,fsr,vfrr,vval1,vval2,vers_process,datacountcycle,datacountstrcycle,grindingwheel,dresser,dresser_2,cutterhead,vers_profile,area,axis,flank,startpos,endpos,a,b,c,d,e,f,g,seg_name,wp_id,seg_typ,seg_pos,origin,machinetyp,vers_settings,vers_grindingtool,wheel_type,dw,bwmin,cd,bw,vmax,pmax,ident,wp_name,pj_id,work_routine
0,KsDatabase_106_50_base,KsDatabase_106_090_base,DIMENSIONS_ROTOR,Database1,1077.0,3.2,21.0,1.0,105.735,63.4,53.265,2.0,240.0,1.0,150.0,150.0,0.6457718232379019,87.138,2.0,0.17453292519943295,0.01,0.0,30.0,0.05,NoMemoText,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,KsDatabase_106_50_base,KsDatabase_106_090_base,DIMENSIONS_ROTOR,Database1,1084.0,3.2,21.0,1.0,105.735,63.4,53.265,2.0,240.0,1.0,150.0,150.0,0.6457718232379019,0.0,0.0,0.17453292519943295,0.01,0.0,0.0,0.05,NoMemoText,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,KsDatabase_106_50_base,KsDatabase_106_090_base,DIMENSIONS_ROTOR,Database1,2290.0,3.2,21.0,1.0,105.735,63.2,53.265,2.0,240.0,1.0,90.0,90.0,0.4249876728606193,75.857,0.0,0.17453292519943295,0.01,0.0,20.0,0.05,NoMemoText,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,KsDatabase_106_50_base,KsDatabase_106_090_base,DIMENSIONS_ROTOR,Database2,2293.0,3.2,21.0,1.0,105.735,63.45,53.265,2.0,240.0,1.0,150.0,150.0,0.6457718232379019,87.04,2.0,0.17453292519943295,0.01,0.0,30.0,0.05,NoMemoText,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,KsDatabase_106_50_base,KsDatabase_106_090_base,DIMENSIONS_ROTOR,Database2,2294.0,3.2,21.0,1.0,105.735,63.45,53.265,2.0,240.0,1.0,90.0,90.0,0.4249876728606193,75.693,0.0,0.17453292519943295,0.01,0.0,20.0,0.05,NoMemoText,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,KsDatabase_106_50_base,KsDatabase_106_090_base,MEMOTEXT,Database1,1077.0,,,,,,,,,,,,,,,,,,,,,,,NoMemoText,NoText,NoText,NoText,NoMemoText,NoText,NoText,NoText,NoText,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,KsDatabase_106_50_base,KsDatabase_106_090_base,MEMOTEXT,Database1,2290.0,,,,,,,,,,,,,,,,,,,,,,,NoMemoText,NoText,NoText,NoText,NoMemoText,NoText,NoText,NoText,NoText,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,KsDatabase_106_50_base,KsDatabase_106_090_base,MEMOTEXT,Database2,2293.0,,,,,,,,,,,,,,,,,,,,,,,NoMemoText,NoText,NoText,NoText,NoMemoText,NoText,NoText,NoText,NoText,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,KsDatabase_106_50_base,KsDatabase_106_090_base,MEMOTEXT,Database2,2294.0,,,,,,,,,,,,,,,,,,,,,,,NoMemoText,NoText,NoText,NoText,NoMemoText,NoText,NoText,NoText,NoText,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,KsDatabase_106_50_base,KsDatabase_106_090_base,PROCESS_CYCLE_ROTOR,Database1,2290.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NoProcessName,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,KsDatabase_106_50_base,KsDatabase_106_090_base,PROCESS_CYCLE_ROTOR,Database1,1084.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NoProcessName,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,KsDatabase_106_50_base,KsDatabase_106_090_base,PROCESS_CYCLE_ROTOR,Database1,2290.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NoProcessName,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,KsDatabase_106_50_base,KsDatabase_106_090_base,PROCESS_CYCLE_ROTOR,Database1,1077.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NoProcessName,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,KsDatabase_106_50_base,KsDatabase_106_090_base,PROCESS_CYCLE_ROTOR,Database1,2290.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NoProcessName,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,KsDatabase_106_50_base,KsDatabase_106_090_base,PROCESS_CYCLE_ROTOR,Database1,2290.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NoProcessName,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,KsDatabase_106_50_base,KsDatabase_106_090_base,PROCESS_CYCLE_ROTOR,Database1,1077.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NoProcessName,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,KsDatabase_106_50_base,KsDatabase_106_090_base,PROCESS_CYCLE_ROTOR,Database1,2290.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NoProcessName,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,KsDatabase_106_50_base,KsDatabase_106_090_base,PROCESS_CYCLE_ROTOR,Database1,1077.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NoProcessName,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,KsDatabase_106_50_base,KsDatabase_106_090_base,PROCESS_CYCLE_ROTOR,Database1,1084.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NoProcessName,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,KsDatabase_106_50_base,KsDatabase_106_090_base,PROCESS_CYCLE_ROTOR,Database1,1077.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NoProcessName,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,KsDatabase_106_50_base,KsDatabase_106_090_base,PROCESS_CYCLE_ROTOR,Database1,2290.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NoProcessName,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,KsDatabase_106_50_base,KsDatabase_106_090_base,PROCESS_CYCLE_ROTOR,Database1,1077.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NoProcessName,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,KsDatabase_106_50_base,KsDatabase_106_090_base,PROCESS_CYCLE_ROTOR,Database1,1077.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NoProcessName,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,KsDatabase_106_50_base,KsDatabase_106_090_base,PROCESS_CYCLE_ROTOR,Database1,2290.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NoProcessName,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,KsDatabase_106_50_base,KsDatabase_106_090_base,PROCESS_CYCLE_ROTOR,Database1,1077.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NoProcessName,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,KsDatabase_106_50_base,KsDatabase_106_090_base,PROCESS_CYCLE_ROTOR,Database1,1084.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NoProcessName,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
